"","cs1","cs2","cs3","symbol","fbgn","cs1.tpm","cs2.tpm","cs3.tpm","family","TPM.median"
"96",0.138587422901558,0.262081806289446,0,"Gr93c","FBgn0045469",0.207621198082508,0.388670131750518,0,"Gr",0.207621198082508
"97",0,0.115898398781333,0.244582747427719,"Gr77a","FBgn0045474",0,0.171878569374118,0.37325432178182,"Gr",0.171878569374118
"98",0.110462872459586,0.208895645333511,0,"Ir60d","FBgn0259187",0.165487123171238,0.30979448418566,0,"Ir",0.165487123171238
"99",0.185093269512819,0,0.0923340908913367,"Ir94a","FBgn0051164",0.277292741063215,0,0.140909769129043,"Ir",0.140909769129043
"100",0,0.0902323173903111,0.28562864102718,"Ir60b","FBgn0259185",0,0.133815495187462,0.435893887893995,"Ir",0.133815495187462
"101",0,0,0,"Gr22f","FBgn0041249",0,0,0,"Gr",0
"102",0,0,0,"Gr22e","FBgn0045497",0,0,0,"Gr",0
"103",0,0,0,"Gr22c","FBgn0265138",0,0,0,"Gr",0
"104",0,0,0,"Gr22b","FBgn0045500",0,0,0,"Gr",0
"105",0,0,0,"Gr22a","FBgn0045501",0,0,0,"Gr",0
"106",0.136867975967295,0,0,"Or22c","FBgn0026396",0.205045252696869,0,0,"Or",0
"107",0,0,0,"Gr23a","FBgn0041248",0,0,0,"Gr",0
"108",0,0,0,"Or24a","FBgn0026394",0,0,0,"Or",0
"109",0,0,0.120594123092557,"Gr28a","FBgn0041247",0,0,0.184037010374528,"Gr",0
"110",0,0,0,"Or30a","FBgn0032096",0,0,0,"Or",0
"111",0.384821820801069,0,0,"Gr32a","FBgn0041246",0.576510954675614,0,0,"Gr",0
"112",0,0,0,"Gr33a","FBgn0032416",0,0,0,"Gr",0
"113",0,0,0.140385505538869,"Gr36a","FBgn0045487",0,0,0.214240363267627,"Gr",0
"114",0.139639985607139,0,0,"Gr36b","FBgn0045486",0.209198067941362,0,0,"Gr",0
"115",0,0,0,"Gr36c","FBgn0045485",0,0,0,"Gr",0
"116",0,0,0,"Gr39b","FBgn0041245",0,0,0,"Gr",0
"117",0,0,0.290401679003888,"Or45a","FBgn0033404",0,0,0.443177954622214,"Or",0
"118",0,0,0,"Gr47a","FBgn0041242",0,0,0,"Gr",0
"119",0,0,0.166089893876972,"Ir47a","FBgn0033515",0,0,0.253467472034938,"Ir",0
"120",0,0,0,"Ir48b","FBgn0033648",0,0,0,"Ir",0
"121",0.141793815719331,0,0,"Ir48c","FBgn0033651",0.212424773359481,0,0,"Ir",0
"122",0,0,0,"Ir52a","FBgn0034023",0,0,0,"Ir",0
"123",0,0.0874582662687532,0,"Ir52b","FBgn0050469",0,0.129701547599251,0,"Ir",0
"124",0,0,0,"Ir52c","FBgn0050468",0,0,0,"Ir",0
"125",0,0.0877525733902409,0,"Ir52d","FBgn0050464",0,0.130138008219327,0,"Ir",0
"126",0,0,0,"Ir54a","FBgn0034272",0,0,0,"Ir",0
"127",0,0,0,"Ir56b","FBgn0034456",0,0,0,"Ir",0
"128",0,0,0,"Ir56c","FBgn0034457",0,0,0,"Ir",0
"129",0.0871371158212006,0,0,"Ir56d","FBgn0034458",0.130542238288844,0,0,"Ir",0
"130",0,0,0,"Gr57a","FBgn0041240",0,0,0,"Gr",0
"131",0,0,0,"Gr58c","FBgn0041237",0,0,0,"Gr",0
"132",0,0,0,"Gr58b","FBgn0041238",0,0,0,"Gr",0
"133",0,0,0.138967470129386,"Gr58a","FBgn0041239",0,0,0.212076319194216,"Gr",0
"134",0,0,0,"Gr59a","FBgn0045483",0,0,0,"Gr",0
"135",0,0,0,"Gr59b","FBgn0045482",0,0,0,"Gr",0
"136",0,0,0,"Gr59c","FBgn0041235",0,0,0,"Gr",0
"137",0,0,0,"Gr59d","FBgn0041236",0,0,0,"Gr",0
"138",0,0,0,"Or59a","FBgn0026384",0,0,0,"Or",0
"139",0,0,0.133570675172905,"Or59c","FBgn0034866",0,0,0.203840345633276,"Or",0
"140",0,0,0,"Gr59e","FBgn0041233",0,0,0,"Gr",0
"141",0.948659853080441,0,0,"Gr59f","FBgn0041234",1.42121046156724,0,0,"Gr",0
"142",0,0,0.25262946367821,"Ir60c","FBgn0259186",0,0,0.385534303294153,"Ir",0
"143",0,0,0,"Ir60e","FBgn0035019",0,0,0,"Ir",0
"144",6.12864381275777,0,0,"Gr64e","FBgn0045476",9.18147075964867,0,0,"Gr",0
"145",0,0,0.106443168609742,"Ir67a","FBgn0036010",0,0,0.162441435978549,"Ir",0
"146",0,0,0,"Ir67b","FBgn0036083",0,0,0,"Ir",0
"147",0,0,0.0958730281728862,"Ir67c","FBgn0052058",0,0,0.146310491987647,"Ir",0
"148",0,0,0,"Gr68a","FBgn0041231",0,0,0,"Gr",0
"149",0,0,0,"Ir68b","FBgn0036250",0,0,0,"Ir",0
"150",0,0,0,"Or74a","FBgn0036709",0,0,0,"Or",0
"151",0,0,0,"Or85d","FBgn0037594",0,0,0,"Or",0
"152",0,0,0,"Gr85a","FBgn0045473",0,0,0,"Gr",0
"153",0,0,0,"Ir87a","FBgn0038153",0,0,0,"Ir",0
"154",0,0,0,"Gr89a","FBgn0038440",0,0,0,"Gr",0
"155",0,0.134765579978294,0,"Gr92a","FBgn0045471",0,0.199858801597812,0,"Gr",0
"156",0,0,0,"Or94a","FBgn0039033",0,0,0,"Or",0
"157",0,0,0,"Or94b","FBgn0039034",0,0,0,"Or",0
"158",0,0.579063058307918,0,"Ir94d","FBgn0259193",0,0.85875673077372,0,"Ir",0
"159",0,0,0,"Ir94e","FBgn0259194",0,0,0,"Ir",0
"160",0,0,0,"Ir94f","FBgn0051225",0,0,0,"Ir",0
"161",0,0,0,"Ir94g","FBgn0039079",0,0,0,"Ir",0
"162",0,0,0,"Ir94h","FBgn0039080",0,0,0,"Ir",0
"163",0,0,0,"Gr97a","FBgn0041224",0,0,0,"Gr",0
"164",0,0,0,"Gr98a","FBgn0039520",0,0,0,"Gr",0
"165",0,0,0,"Gr98c","FBgn0046886",0,0,0,"Gr",0
"166",0,0,0,"Gr98d","FBgn0046885",0,0,0,"Gr",0
"167",0,0,0,"Or98b","FBgn0039582",0,0,0,"Or",0
"168",0,0,0.0894814929613605,"Ir7a","FBgn0029961",0,0,0.136556459188471,"Ir",0
"169",0,0,0.0823819134299951,"Ir7b","FBgn0029965",0,0,0.125721889821721,"Ir",0
"170",0,0,0.0879091344588446,"Ir7c","FBgn0029966",0,0,0.134156904793785,"Ir",0
"171",0,0,0,"Ir7d","FBgn0259190",0,0,0,"Ir",0
"172",0,0,0,"Ir7e","FBgn0259189",0,0,0,"Ir",0
"173",0,0,0,"Ir7f","FBgn0259188",0,0,0,"Ir",0
"174",0,0,0,"Ir7g","FBgn0029968",0,0,0,"Ir",0
"175",0,0,0,"Gr8a","FBgn0030108",0,0,0,"Gr",0
"176",0.322560200671462,0,0,"Gr9a","FBgn0052693",0.483235303139404,0,0,"Gr",0
"177",0,0,0,"Ir11a","FBgn0030385",0,0,0,"Ir",0
"178",0,0,0,"Ir20a","FBgn0031181",0,0,0,"Ir",0
